what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1268704576780
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1268704576785
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1268704576793
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1268704576800
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1268704576814
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1268704576828
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1268704576843
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1268704576854
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1268704576857
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1268704576874
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1268704576877
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1268704576891
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1268704576904
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1268704576908
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1268704576914
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1268704576924
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1268704576934
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1268704576941
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1268704576953
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1268704576961
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1268704576976
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1268704576985
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1268704576992
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1268704577002
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1268704577040
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1268704577068
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1268704577078
os,sysinfo,,,"macosx",1268704577081
arch,sysinfo,,,"x86",1268704577081
ws,sysinfo,,,"cocoa",1268704577081
locale,sysinfo,,,"en_US",1268704577081
processors,sysinfo,,,"2",1268704577081
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268704577081
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1268704577081
java.specification.name,sysinfo,,,"Java Platform API Specification",1268704577081
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268704577081
java.specification.version,sysinfo,,,"1.6",1268704577081
java.vendor,sysinfo,,,"Apple Inc.",1268704577081
java.version,sysinfo,,,"1.6.0_17",1268704577081
java.vm.info,sysinfo,,,"mixed mode",1268704577081
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268704577081
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268704577081
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268704577081
java.vm.specification.version,sysinfo,,,"1.0",1268704577081
java.vm.vendor,sysinfo,,,"Apple Inc.",1268704577081
java.vm.version,sysinfo,,,"14.3-b01-101",1268704577081
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268704577170
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268704577191
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1268704577204
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268704582943
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1268704583173
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1268704583543
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1268704583555
stopped,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1268704583555
